Cible,Nombres,Iterations_Prog1,Resultat_v1,Iterations_Prog2,Resultat_v2,Division_Iterations
742,"[1, 5, 7, 1, 6, 4]",409912,False,41026,False,9.991517574221225
782,"[1, 3, 10, 7, 8, 25]",10413,True,6292,True,1.6549586776859504
820,"[1, 10, 9, 2, 10, 2]",124483,True,16690,True,7.458538046734572
678,"[3, 1, 6, 7, 10, 1]",437160,False,44926,False,9.730668209945243
936,"[9, 2, 3, 10, 7, 8]",36490,True,20269,True,1.8002861512654793
831,"[2, 8, 75, 8, 8, 5]",988,True,512,True,1.9296875
881,"[10, 50, 50, 75, 3, 8]",256322,False,54423,False,4.709810190544439
789,"[6, 10, 4, 10, 5, 1]",282749,True,43916,True,6.438405137079879
232,"[4, 100, 2, 3, 9, 9]",5265,True,2366,True,2.2252747252747254
763,"[25, 10, 1, 25, 1, 10]",375357,False,11972,False,31.352906782492482
878,"[2, 10, 7, 6, 6, 9]",42741,True,13519,True,3.1615504105333234
752,"[6, 75, 75, 2, 1, 9]",78771,True,20842,True,3.779435754726034
986,"[4, 5, 4, 10, 8, 2]",348298,False,64161,False,5.428500179236608
462,"[25, 5, 10, 8, 8, 2]",101329,True,28738,True,3.525958661006333
545,"[10, 2, 4, 9, 8, 9]",74658,True,21649,True,3.448565753614486
517,"[4, 100, 1, 4, 3, 25]",21678,True,9778,True,2.2170177950501126
442,"[9, 1, 3, 7, 75, 8]",18239,True,8168,True,2.2329823702252694
919,"[1, 4, 7, 10, 1, 5]",389276,False,40705,False,9.563346026286696
987,"[7, 10, 100, 100, 8, 4]",17231,True,5975,True,2.883849372384937
776,"[5, 6, 4, 100, 2, 8]",62689,True,33290,True,1.8831180534695104
202,"[100, 8, 1, 7, 7, 5]",1698,True,774,True,2.193798449612403
239,"[50, 9, 75, 8, 8, 9]",247269,False,28527,False,8.66789357450836
332,"[6, 10, 1, 8, 9, 9]",62924,True,14543,True,4.326755139929864
512,"[4, 5, 8, 3, 5, 3]",32145,True,6207,True,5.178830352827453
137,"[9, 8, 2, 4, 10, 3]",4497,True,3243,True,1.3866790009250693
321,"[3, 2, 100, 2, 3, 3]",14692,True,3281,True,4.477903078329778
132,"[2, 1, 6, 7, 6, 1]",46355,True,5592,True,8.289520743919885
669,"[6, 7, 1, 10, 10, 7]",108541,True,16791,True,6.464236793520338
405,"[6, 100, 25, 9, 4, 4]",3569,True,1694,True,2.1068476977567885
655,"[9, 3, 9, 1, 75, 10]",1354,True,959,True,1.4118873826903025
524,"[7, 8, 5, 100, 1, 8]",511,True,426,True,1.199530516431925
201,"[25, 7, 3, 1, 1, 10]",164543,True,25764,True,6.386547120012421
192,"[4, 2, 8, 10, 25, 2]",716,True,605,True,1.1834710743801653
563,"[2, 8, 9, 10, 4, 3]",154058,True,66035,True,2.3329749375331263
207,"[25, 8, 5, 7, 7, 9]",20846,True,7209,True,2.8916631987793036
516,"[75, 8, 75, 50, 7, 6]",5612,True,3787,True,1.481911803538421
269,"[2, 1, 4, 2, 5, 2]",399983,False,17644,False,22.669632736340965
563,"[4, 25, 6, 6, 6, 7]",105615,True,13970,True,7.5601288475304225
959,"[3, 25, 75, 25, 4, 4]",57176,True,12135,True,4.711660486196951
584,"[4, 2, 25, 10, 100, 3]",18987,True,10756,True,1.7652473038304202
774,"[7, 75, 2, 25, 100, 5]",161928,True,72470,True,2.2344142403753278
220,"[1, 75, 5, 75, 5, 5]",36315,True,3482,True,10.429350947731189
951,"[1, 2, 10, 4, 9, 5]",342264,False,83259,False,4.110834864699312
873,"[3, 6, 8, 75, 5, 4]",14113,True,7915,True,1.7830701200252685
938,"[9, 50, 50, 50, 7, 6]",278229,False,23875,False,11.653570680628272
904,"[6, 50, 2, 1, 25, 2]",132865,True,27683,True,4.799515948415995
419,"[7, 8, 10, 7, 8, 10]",111574,True,14417,True,7.739058056461122
295,"[6, 50, 8, 75, 5, 10]",54628,True,29144,True,1.8744166895415866
572,"[8, 4, 25, 7, 6, 9]",16302,True,9403,True,1.7337020099968095
450,"[50, 25, 6, 8, 25, 75]",1569,True,1196,True,1.3118729096989967
164,"[6, 9, 25, 3, 3, 50]",98864,True,26688,True,3.7044364508393284
404,"[75, 50, 4, 5, 7, 8]",9747,True,5848,True,1.6667236662106704
319,"[8, 4, 5, 1, 9, 3]",68704,True,26571,True,2.585676113055587
620,"[100, 1, 6, 4, 5, 6]",1948,True,1008,True,1.9325396825396826
512,"[7, 3, 4, 10, 5, 75]",26214,True,14959,True,1.7523898656327295
526,"[50, 2, 6, 75, 7, 8]",15446,True,8541,True,1.808453342699918
980,"[10, 8, 5, 75, 7, 8]",1362,True,1055,True,1.2909952606635071
466,"[10, 5, 2, 100, 50, 1]",327602,True,94830,True,3.4546240641147317
503,"[8, 2, 50, 6, 7, 1]",67027,True,26871,True,2.4943991663875553
112,"[3, 9, 3, 7, 8, 8]",3936,True,1765,True,2.230028328611898
497,"[7, 2, 6, 6, 1, 5]",49168,True,12116,True,4.058104985143612
185,"[8, 9, 25, 5, 5, 3]",5887,True,2514,True,2.341686555290374
248,"[7, 75, 10, 9, 1, 1]",1543,True,603,True,2.558872305140962
444,"[3, 7, 6, 8, 5, 4]",35434,True,19300,True,1.8359585492227979
750,"[9, 100, 25, 5, 4, 1]",59972,True,24634,True,2.434521393196395
538,"[8, 3, 1, 75, 8, 1]",85556,True,12524,True,6.831363781539444
747,"[8, 6, 5, 10, 8, 1]",106084,True,29263,True,3.625192222260192
282,"[9, 7, 5, 5, 2, 8]",3831,True,2018,True,1.898414271555996
476,"[4, 6, 2, 8, 75, 3]",2007,True,1536,True,1.306640625
176,"[4, 50, 100, 8, 1, 9]",4851,True,2899,True,1.6733356329768885
564,"[4, 9, 4, 8, 2, 50]",23595,True,12830,True,1.8390491036632892
476,"[5, 4, 75, 7, 10, 2]",12018,True,7006,True,1.715386811304596
852,"[10, 4, 5, 9, 8, 1]",338012,False,83473,False,4.049357277203407
513,"[6, 10, 100, 5, 3, 3]",17751,True,5752,True,3.0860570236439497
796,"[2, 2, 1, 2, 3, 7]",470107,False,22230,False,21.147413405308143
743,"[6, 8, 1, 3, 3, 2]",365732,False,46324,False,7.895086780070805
417,"[25, 75, 1, 10, 4, 3]",89509,True,33750,True,2.6521185185185185
664,"[9, 10, 100, 9, 2, 5]",293185,False,60734,False,4.827361938946883
862,"[6, 1, 6, 100, 1, 4]",397992,False,23646,False,16.83126110124334
740,"[10, 3, 9, 9, 8, 75]",1050,True,588,True,1.7857142857142858
132,"[9, 9, 10, 50, 9, 10]",93,True,93,True,1.0
